3010-06-01
Курдостан	5	7	5
3010-05-01	6	30	2.7
3010-04-01	5.5	24	1.5
3010-03-01	5.2	22	1.8
3010-02-01	5.7	31	2.3
3010-01-01	5.9	27	2.2
3009-12-01	6.2	23	2.6

Курдигар	6	8	7.9
3010-05-01	7.2	10	1.2
3010-04-01	6.9	14	1.5
3010-03-01	6.7	12	1.8
3010-02-01	6.4	11	1.3
3010-01-01	6.5	17	1.2
3009-12-01	6.2	13	1.6

Курдлелесье	8	9	9.2
3010-05-01	8.5	52	0.4
3010-04-01	8.5	79	1.2
3010-03-01	8.5	75	1.2
3010-02-01	8.2	51	0.9
3010-01-01	8.8	80	1.8
3009-12-01	8.5	64	1

Курдлеград	3	4	3.2
3010-05-01	3.5	10	0.7
3010-04-01	3.6	9	0.6
3010-03-01	3.2	2	0.2
3010-02-01	3.7	25	1.1
3010-01-01	3.1	3	0.1
3009-12-01	3.4	18	0.9

Курдихлоп	1	1.5	1.2
3010-05-01	1.6	11	0.65
3010-04-01	1.5	6	0.25
3010-03-01	1.2	8	0.53
3010-02-01	1.1	3	0.23
3010-01-01	0.9	8	0.092
3009-12-01	1.2	4	0.625

Курдлебик	3	4	3.5
3010-05-01	3.7	40	0.7
3010-04-01	3.5	49	0.5
3010-03-01	3.2	51	0.25
3010-02-01	3.7	43	0.65
3010-01-01	3.9	25	0.45
3009-12-01	3.4	75	0.006

Курдлекурд	11	12	9
3010-05-01	8.5	35	1.1
3010-04-01	8.2	44	1.5
3010-03-01	7.9	42	1.4
3010-02-01	7.7	31	1.3
3010-01-01	7.4	27	1.2
3009-12-01	7.2	29	1.1
